Weeks;CTR;target
-0.089643;-0.397418;1.000000
1.285249;1.052740;0.000000
-1.327045;-0.816767;1.000000
0.597803;1.604210;0.000000
-1.327045;-0.663832;1.000000
-0.227132;1.029866;0.000000
-1.327045;-0.630108;1.000000
-1.464535;-1.866168;1.000000
-0.089643;-0.323892;1.000000
-1.327045;-0.434472;1.000000
1.147760;2.541583;0.000000
0.735292;1.520356;0.000000
-0.089643;0.079531;1.000000
0.735292;1.832914;0.000000
-0.227132;-0.956228;1.000000
-0.364621;-0.076123;1.000000
1.422738;0.277894;1.000000
0.460314;0.840915;0.000000
-1.189556;-0.985323;1.000000
-1.327045;-0.347532;1.000000
0.735292;0.949870;0.000000
-0.227132;0.216326;1.000000
0.735292;1.840682;0.000000
-0.227132;-0.282841;1.000000
-1.189556;-0.787111;1.000000
-1.327045;-0.942373;1.000000
1.147760;1.521873;0.000000
-0.227132;-0.248096;1.000000
-0.227132;-0.206840;1.000000
1.147760;2.349541;0.000000
-0.227132;2.276226;0.000000
1.422738;0.999640;1.000000
-0.227132;0.116018;0.000000
-1.327045;-1.435334;1.000000
-0.089643;1.121392;0.000000
0.322825;1.426628;0.000000
-0.089643;-0.436153;1.000000
1.147760;1.291753;0.000000
-0.227132;0.625705;0.000000
1.010270;0.390652;1.000000
1.147760;2.032531;0.000000
-1.327045;-0.377226;1.000000
0.597803;2.637640;0.000000
-1.327045;-1.246590;1.000000
-0.777089;-0.662015;0.000000
1.285249;2.309349;0.000000
1.422738;0.581396;1.000000
-1.327045;-1.033304;1.000000
-1.189556;-0.001483;1.000000
1.285249;0.370444;1.000000
-1.327045;-1.190407;1.000000
-0.227132;-0.671973;1.000000
-0.227132;0.275272;1.000000
1.422738;-0.097943;1.000000
1.147760;-0.011982;1.000000
1.422738;0.767078;1.000000
1.285249;-0.628852;1.000000
-1.327045;-0.989381;1.000000
-1.327045;-1.220240;1.000000
-1.327045;-1.224965;1.000000
-0.227132;-0.300078;1.000000
0.735292;0.865757;0.000000
-1.189556;-0.368485;1.000000
1.285249;0.701673;1.000000
-0.227132;0.398773;0.000000
1.422738;0.478273;1.000000
-1.464535;-0.591164;1.000000
-0.777089;1.351945;0.000000
-1.327045;-1.265328;1.000000
-0.227132;-0.922170;1.000000
1.285249;-0.626287;1.000000
-1.189556;-0.939405;1.000000
-0.364621;-0.650867;1.000000
1.422738;0.758365;1.000000
1.010270;-0.176731;1.000000
1.285249;0.229856;1.000000
1.422738;-0.191968;1.000000
0.460314;1.134671;0.000000
-0.777089;-0.481561;1.000000
1.285249;-0.404738;1.000000
-0.364621;-0.482082;1.000000
-0.227132;-0.259661;1.000000
-1.327045;-0.611551;1.000000
1.422738;0.324549;1.000000
1.285249;0.742726;1.000000
0.460314;1.924331;0.000000
0.735292;0.373277;1.000000
0.460314;0.285435;0.000000
-0.227132;-0.216203;1.000000
-1.327045;-0.593554;1.000000
